MUNICIPIO	CODIGO INE	POBLACION	MEDIA DE PARADOS	RENTAS NETAS DECLARADAS	ADSL	COBERTURA ADSL 10 Mbps	COBERTURA FIBRA	COBERTURA INALAMBRICAS 30 Mbps	COBERTURA LTE 4G
Abla	04001	1422	125,0833333	4502566	175	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Abrucena	04002	1299	72,91666668	4431738	148	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Adra	04003	24761	2993,833333	102392249	2010	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Albanchez	04004	648	27,25000001	2424658	128	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60
Alboloduy	04005	645	53,25000002	1721521	59	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Albox	04006	10409	1055,416667	49914932	1446	Entre 50 y 60	Entre 50 y 60	Entre 50 y 60	Entre 90 y 100
Alcolea	04007	850	75,83333334	2466708	86	Entre 80 y 90	Entre 0 y 10	Entre 10 y 20	Entre 90 y 100
Alcóntar	04008	618	28,91666666	1912675	14	Entre 50 y 60	Entre 0 y 10	Entre 90 y 100	Entre 0 y 10
Alcudia de Monteagud	04009	141	4,74999999	114180	0	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alhabia	04010	671	114,1666667	1925539	77	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Alhama de Almería	04011	3815	502,75	15316658	507	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alicún	04012	244	22,33333334	787023	25	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60
Almería (capital)	04013	192697	26298,91667	1391276617	18091	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Almócita	04014	177	16,66666668	308701	14	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alsodux	04015	149	7,5	162683	4	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60
Antas	04016	3288	200,1666667	13409905	554	Entre 60 y 70	Entre 50 y 60	Entre 70 y 80	Entre 90 y 100
Arboleas	04017	5126	185,25	11214895	194	Entre 10 y 20	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Armuña de Almanzora	04018	338	29,41666666	1403166	54	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Bacares	04019	273	18,99999999	695621	0	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Bayárcal	04020	347	20,49999998	604779	0	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Bayarque	04021	216	12,24999999	1034669	34	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90	Entre 0 y 10
Bédar	04022	1113	49,33333331	2407643	112	Entre 30 y 40	Entre 0 y 10	Entre 60 y 70	Entre 90 y 100
Beires	04023	114	4,58333332	277490	2	Entre 50 y 60	Entre 0 y 10	Entre 50 y 60	Entre 40 y 50
Benahadux	04024	4222	574,5833333	20823014	897	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Benitagla	04026	73	0,91666666	..	0	Entre 90 y 100	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Benizalón	04027	281	18,33333331	480652	13	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Bentarique	04028	260	34,83333335	794093	14	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 70 y 80
Berja	04029	15521	1891,583333	60180876	1955	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Canjáyar	04030	1405	150,6666667	3829199	185	Entre 80 y 90	Entre 0 y 10	Entre 70 y 80	Entre 90 y 100
Cantoria	04031	3926	348,4166667	12652355	296	Entre 90 y 100	Entre 0 y 10	Entre 80 y 90	Entre 90 y 100
Carboneras	04032	8035	790,6666667	45829365	1448	Entre 50 y 60	Entre 0 y 10	Entre 50 y 60	Entre 90 y 100
Castro de Filabres	04033	148	5,66666667	..	0	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Chercos	04036	284	28,83333334	643712	0	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Chirivel	04037	1795	99,91666668	7630107	186	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 20 y 30
Cóbdar	04034	146	13,41666664	446224	5	Entre 70 y 80	Entre 0 y 10	Entre 70 y 80	Entre 80 y 90
Cuevas del Almanzora	04035	13108	1359,416667	57987385	1683	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Dalías	04038	3972	368,3333333	17720254	644	Entre 70 y 80	Entre 10 y 20	Entre 50 y 60	Entre 90 y 100
Ejido (El)	04902	82983	8810,083333	323867318	9046	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Enix	04041	451	27,41666666	969488	10	Entre 80 y 90	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Felix	04043	667	46,08333335	2118359	97	Entre 10 y 20	Entre 0 y 10	Entre 20 y 30	Entre 90 y 100
Fines	04044	2244	354,9166667	8663887	336	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100	Entre 90 y 100
Fiñana	04045	2270	245,5	7582655	269	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Fondón	04046	990	97,33333335	3625978	124	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Gádor	04047	3226	525,6666667	11447713	441	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Gallardos (Los)	04048	2848	228,8333333	10148835	383	Entre 90 y 100	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Garrucha	04049	8663	991,4166666	38452627	1642	Entre 70 y 80	Entre 0 y 10	Entre 70 y 80	Entre 90 y 100
Gérgal	04050	1075	100,4166667	3054649	110	Entre 30 y 40	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Huécija	04051	533	49,66666668	1831239	58	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Huércal de Almería	04052	16442	2267,166667	113895524	1815	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 20 y 30
Huércal-Overa	04053	18925	1815,5	98340935	1744	Entre 60 y 70	Entre 30 y 40	Entre 0 y 10	Entre 90 y 100
Íllar	04054	366	31,16666664	1173863	39	Entre 60 y 70	Entre 50 y 60	Entre 70 y 80	Entre 90 y 100
Instinción	04055	480	41,16666664	1673875	64	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Laroya	04056	177	17,08333333	245279	0	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Láujar de Andarax	04057	1671	187,8333333	5732839	291	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Líjar	04058	448	61,50000001	1421177	53	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Lubrín	04059	1708	111,25	5409304	103	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Lucainena de las Torres	04060	650	41	1053247	32	Entre 40 y 50	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Lúcar	04061	854	70,16666665	2892817	104	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 30 y 40
Macael	04062	5738	920,3333333	29571808	961	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 40 y 50
María	04063	1352	80,33333334	5403490	194	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Mojácar	04064	8360	483,5	28460337	1732	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 80 y 90
Mojonera (La)	04903	8844	844,75	27494734	1217	Entre 30 y 40	Entre 50 y 60	Entre 70 y 80	Entre 90 y 100
Nacimiento	04065	517	26,08333333	1118270	36	Entre 90 y 100	Entre 70 y 80	Entre 90 y 100	Entre 90 y 100
Níjar	04066	28245	2530,583333	102788064	2902	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Ohanes	04067	710	72,66666668	1821972	45	Entre 70 y 80	Entre 0 y 10	Entre 60 y 70	Entre 90 y 100
Olula de Castro	04068	171	4	183638	0	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70	Entre 50 y 60
Olula del Río	04069	6444	964,3333333	29619790	1159	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Oria	04070	2366	125,4166667	7203544	0	Entre 90 y 100	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
Padules	04071	500	30,91666667	1445285	45	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Partaloa	04072	979	28,91666667	1721471	2	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Paterna del Río	04073	431	26,91666668	680508	0	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50	Entre 80 y 90
Pechina	04074	3736	565	17083463	736	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Pulpí	04075	8871	469,9166666	43186458	1252	Entre 80 y 90	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Purchena	04076	1727	206,5833333	6906125	223	Entre 60 y 70	Entre 30 y 40	Entre 70 y 80	Entre 90 y 100
Rágol	04077	340	18,49999999	776733	23	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Rioja	04078	1397	275,9166667	5081236	209	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 60 y 70
Roquetas de Mar	04079	87868	10512,83333	524396633	9045	Entre 0 y 10	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Santa Cruz de Marchena	04080	214	18,58333333	448561	5	Entre 70 y 80	Entre 80 y 90	Entre 90 y 100	Entre 90 y 100
Santa Fe de Mondújar	04081	419	50,08333332	1349508	48	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
